Metric,Hits@1,Hits@10,Hits@20,Hits@50,Hits@100,MRR,AUC,AP,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.0_edges1000,12.45 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan,47.61 ± nan,99.59 ± nan,99.60 ± nan,12.45 ± nan,82.81 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.1_edges1000,53.22 ± nan,94.99 ± nan,98.10 ± nan,99.12 ± nan,98.98 ± nan,65.06 ± nan,99.64 ± nan,99.77 ± nan,53.22 ± nan,67.23 ± nan,94.99 ± nan,98.10 ± nan,99.12 ± nan,98.98 ± nan
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.0_edges1000,12.45 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan,47.61 ± nan,99.59 ± nan,99.60 ± nan,12.45 ± nan,82.81 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.0_edges1000,57.81 ± nan,94.19 ± nan,97.16 ± nan,98.65 ± nan,99.19 ± nan,73.00 ± nan,99.68 ± nan,99.69 ± nan,57.81 ± nan,86.34 ± nan,94.19 ± nan,97.16 ± nan,98.65 ± nan,99.19 ± nan
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.0_edges1000,12.45 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan,47.61 ± nan,99.59 ± nan,99.60 ± nan,12.45 ± nan,82.81 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.1_edges1000,53.22 ± nan,94.99 ± nan,98.10 ± nan,99.12 ± nan,98.98 ± nan,65.06 ± nan,99.64 ± nan,99.77 ± nan,53.22 ± nan,67.23 ± nan,94.99 ± nan,98.10 ± nan,99.12 ± nan,98.98 ± nan
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.0_edges1000,12.45 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan,47.61 ± nan,99.59 ± nan,99.60 ± nan,12.45 ± nan,82.81 ± nan,92.49 ± nan,96.14 ± nan,98.24 ± nan,99.12 ± nan
Citeseer_inter0.5_intra0.0_edges1000,52.16 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan,66.50 ± nan,99.59 ± nan,99.64 ± nan,52.16 ± nan,78.51 ± nan,96.42 ± nan,97.50 ± nan,98.58 ± nan,99.26 ± nan
Citeseer_inter0.5_intra0.0_edges1000,78.48 ± nan,95.67 ± nan,96.21 ± nan,98.71 ± nan,99.26 ± nan,83.94 ± nan,99.76 ± nan,99.71 ± nan,78.48 ± nan,92.22 ± nan,95.67 ± nan,96.21 ± nan,98.71 ± nan,99.26 ± nan

Citeseer_inter0.00_intra0.00_total0_Orbits_658.00_Norm_0.81_ArScore_0.90,14.37 ± 0.92,16.80 ± 0.58,80.18 ± 3.01,80.97 ± 2.14
Citeseer_inter0.10_intra0.50_total200_Orbits_1192.00_Norm_0.80_ArScore_0.82,11.50 ± 0.66,14.23 ± 3.07,79.50 ± 2.73,80.85 ± 1.77
Citeseer_inter0.10_intra0.50_total1000_Orbits_1849.00_Norm_0.77_ArScore_0.72,5.61 ± 1.81,11.00 ± 0.50,77.30 ± 3.93,78.20 ± 3.01
Citeseer_inter0.10_intra0.50_total2000_Orbits_2558.00_Norm_0.73_ArScore_0.62,4.87 ± 0.45,9.05 ± 0.15,76.87 ± 3.07,77.52 ± 2.22
Citeseer_inter0.10_intra0.50_total3000_Orbits_3221.00_Norm_0.69_ArScore_0.52,3.87 ± 0.70,7.37 ± 0.57,76.34 ± 2.70,77.04 ± 1.93
Citeseer_inter0.10_intra0.50_total4000_Orbits_3776.00_Norm_0.65_ArScore_0.43,1.66 ± 1.11,11.26 ± 0.50,76.04 ± 2.83,77.08 ± 2.26
Citeseer_inter0.10_intra0.50_total5000_Orbits_4338.00_Norm_0.61_ArScore_0.35,7.29 ± 0.98,9.69 ± 0.53,74.27 ± 2.99,75.56 ± 2.20
Citeseer_inter0.10_intra0.50_total7000_Orbits_5131.00_Norm_0.53_ArScore_0.23,4.90 ± 2.07,7.70 ± 1.01,73.66 ± 2.32,75.13 ± 1.77
Citeseer_inter0.10_intra0.50_total8000_Orbits_5398.00_Norm_0.50_ArScore_0.19,4.37 ± 0.45,6.88 ± 0.18,73.15 ± 2.15,74.70 ± 1.60
Citeseer_inter0.10_intra0.50_total10000_Orbits_5847.00_Norm_0.42_ArScore_0.12,1.82 ± 1.13,4.79 ± 0.60,69.36 ± 2.23,70.10 ± 1.66
Citeseer_inter0.10_intra0.50_total14000_Orbits_6265.00_Norm_0.28_ArScore_0.06,4.19 ± 0.55,6.17 ± 0.22,68.90 ± 1.64,70.19 ± 1.14
Citeseer_inter0.00_intra0.00_total0_Orbits_658.00_Norm_0.81_ArScore_0.90,14.37 ± 0.92,16.80 ± 0.58,80.18 ± 3.01,80.97 ± 2.14

Citeseer_inter0.00_intra0.00_total0_Orbits_658.00_Norm_0.81_ArScore_0.90,14.37 ± 0.92,16.80 ± 0.58,80.18 ± 3.01,80.97 ± 2.14
Citeseer_inter0.10_intra0.50_total200_Orbits_1192.00_Norm_0.80_ArScore_0.82,11.50 ± 0.66,14.23 ± 3.07,79.50 ± 2.73,80.85 ± 1.77
Citeseer_inter0.10_intra0.50_total1000_Orbits_1849.00_Norm_0.77_ArScore_0.72,5.61 ± 1.81,11.00 ± 0.50,77.30 ± 3.93,78.20 ± 3.01
Citeseer_inter0.10_intra0.50_total2000_Orbits_2558.00_Norm_0.73_ArScore_0.62,4.87 ± 0.45,9.05 ± 0.15,76.87 ± 3.07,77.52 ± 2.22
Citeseer_inter0.10_intra0.50_total3000_Orbits_3221.00_Norm_0.69_ArScore_0.52,3.87 ± 0.70,7.37 ± 0.57,76.34 ± 2.70,77.04 ± 1.93
Citeseer_inter0.10_intra0.50_total4000_Orbits_3776.00_Norm_0.65_ArScore_0.43,1.66 ± 1.11,11.26 ± 0.50,76.04 ± 2.83,77.08 ± 2.26
Citeseer_inter0.10_intra0.50_total5000_Orbits_4338.00_Norm_0.61_ArScore_0.35,7.29 ± 0.98,9.69 ± 0.53,74.27 ± 2.99,75.56 ± 2.20
Citeseer_inter0.10_intra0.50_total7000_Orbits_5131.00_Norm_0.53_ArScore_0.23,4.90 ± 2.07,7.70 ± 1.01,73.66 ± 2.32,75.13 ± 1.77
Citeseer_inter0.10_intra0.50_total8000_Orbits_5398.00_Norm_0.50_ArScore_0.19,4.37 ± 0.45,6.88 ± 0.18,73.15 ± 2.15,74.70 ± 1.60
Citeseer_inter0.10_intra0.50_total10000_Orbits_5847.00_Norm_0.42_ArScore_0.12,1.82 ± 1.13,4.79 ± 0.60,69.36 ± 2.23,70.10 ± 1.66
Citeseer_inter0.10_intra0.50_total14000_Orbits_6265.00_Norm_0.28_ArScore_0.06,4.19 ± 0.55,6.17 ± 0.22,68.90 ± 1.64,70.19 ± 1.14
