Metric,Hits@1,Hits@10,Hits@20,Hits@50,Hits@100,MRR,AUC,AP,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100

Cora_inter0.10_intra0.50_total50_Ar1_0.71_ArScore_0.86,1.58 ± 0.45,12.44 ± 0.22,19.47 ± 2.76,29.99 ± 3.03,42.50 ± 3.17,5.00 ± 0.62,80.82 ± 0.56,81.49 ± 0.28,1.58 ± 0.45,4.76 ± 0.31,12.44 ± 0.22,19.47 ± 2.76,29.99 ± 3.03,42.50 ± 3.17
Cora_inter0.10_intra0.50_total250_Ar1_0.70_ArScore_0.85,2.53 ± 1.81,13.45 ± 2.60,17.85 ± 2.74,30.52 ± 0.53,41.23 ± 0.66,6.77 ± 0.66,80.31 ± 1.03,81.16 ± 0.04,2.53 ± 1.81,5.90 ± 1.73,13.45 ± 2.60,17.85 ± 2.74,30.52 ± 0.53,41.23 ± 0.66
Cora_inter0.10_intra0.50_total1000_Ar1_0.67_ArScore_0.83,1.27 ± 0.94,12.04 ± 1.19,14.69 ± 0.93,25.65 ± 2.89,34.23 ± 3.96,4.26 ± 0.84,78.51 ± 1.29,78.76 ± 0.04,1.27 ± 0.94,2.17 ± 0.17,12.04 ± 1.19,14.69 ± 0.93,25.65 ± 2.89,34.23 ± 3.96
Cora_inter0.10_intra0.50_total1750_Ar1_0.63_ArScore_0.81,1.78 ± 0.21,11.76 ± 0.12,17.24 ± 2.38,27.14 ± 4.72,36.71 ± 4.64,4.99 ± 0.01,78.07 ± 1.34,79.24 ± 0.33,1.78 ± 0.21,4.27 ± 2.09,11.76 ± 0.12,17.24 ± 2.38,27.14 ± 4.72,36.71 ± 4.64
Cora_inter0.10_intra0.50_total3000_Ar1_0.57_ArScore_0.79,1.75 ± 0.54,9.82 ± 2.67,13.37 ± 3.68,22.72 ± 2.98,32.81 ± 2.09,4.41 ± 0.40,75.69 ± 2.71,76.76 ± 0.96,1.75 ± 0.54,3.06 ± 1.70,9.82 ± 2.67,13.37 ± 3.68,22.72 ± 2.98,32.81 ± 2.09
Cora_inter0.10_intra0.50_total4500_Ar1_0.50_ArScore_0.75,3.33 ± 2.18,10.20 ± 2.76,13.25 ± 0.18,22.12 ± 2.72,31.60 ± 2.79,6.29 ± 2.42,74.31 ± 2.37,75.82 ± 0.59,3.33 ± 2.18,5.90 ± 1.52,10.20 ± 2.76,13.25 ± 0.18,22.12 ± 2.72,31.60 ± 2.79
Cora_inter0.10_intra0.50_total7000_Ar1_0.38_ArScore_0.69,2.22 ± 0.59,9.93 ± 0.43,13.34 ± 0.85,19.59 ± 0.20,27.58 ± 0.75,5.10 ± 0.44,74.26 ± 1.19,75.85 ± 0.55,2.22 ± 0.59,5.79 ± 0.52,9.93 ± 0.43,13.34 ± 0.85,19.59 ± 0.20,27.58 ± 0.75

Cora_inter0.00_intra0.00_total0_Ar1_0.72_ArScore_0.86,0.79 ± 0.58,12.70 ± 2.23,20.31 ± 3.00,30.19 ± 5.18,40.65 ± 2.01,5.18 ± 0.80,79.46 ± 1.90,80.36 ± 0.69,0.79 ± 0.58,4.68 ± 2.50,12.70 ± 2.23,20.31 ± 3.00,30.19 ± 5.18,40.65 ± 2.01
