Metric,Hits@1,MRR,AUC,AP
Cora_inter0.10_intra0.50_total50_Ar1_0.71_ArScore_0.69,1.58 ± 0.45,5.00 ± 0.62,80.82 ± 0.56,81.49 ± 0.28
Cora_inter0.10_intra0.50_total250_Ar1_0.70_ArScore_0.62,2.53 ± 1.81,6.77 ± 0.66,80.31 ± 1.03,81.16 ± 0.04
Cora_inter0.10_intra0.50_total1000_Ar1_0.67_ArScore_0.49,1.27 ± 0.94,4.26 ± 0.84,78.51 ± 1.29,78.76 ± 0.04
Cora_inter0.10_intra0.50_total1750_Ar1_0.63_ArScore_0.40,1.78 ± 0.21,4.99 ± 0.01,78.07 ± 1.34,79.24 ± 0.33
Cora_inter0.10_intra0.50_total3000_Ar1_0.57_ArScore_0.29,1.75 ± 0.54,4.41 ± 0.40,75.69 ± 2.71,76.76 ± 0.96
Cora_inter0.10_intra0.50_total4500_Ar1_0.50_ArScore_0.20,3.33 ± 2.18,6.29 ± 2.42,74.31 ± 2.37,75.82 ± 0.59
Cora_inter0.10_intra0.50_total7000_Ar1_0.38_ArScore_0.11,2.22 ± 0.59,5.10 ± 0.44,74.26 ± 1.19,75.85 ± 0.55
Cora_inter0.00_intra0.00_total0_Ar1_0.72_ArScore_0.81,0.79 ± 0.58,5.18 ± 0.80,79.46 ± 1.90,80.36 ± 0.69
Cora_inter0.10_intra0.50_total50_Ar1_0.71_ArScore_0.72,1.61 ± 0.93,4.48 ± 0.55,79.37 ± 0.68,79.93 ± 0.19
Cora_inter0.10_intra0.50_total250_Ar1_0.70_ArScore_0.62,2.53 ± 1.81,6.77 ± 0.66,80.31 ± 1.03,81.16 ± 0.04
Cora_inter0.10_intra0.50_total1000_Ar1_0.67_ArScore_0.49,1.27 ± 0.94,4.26 ± 0.84,78.51 ± 1.29,78.76 ± 0.04
Cora_inter0.10_intra0.50_total1750_Ar1_0.63_ArScore_0.40,1.78 ± 0.21,4.99 ± 0.01,78.07 ± 1.34,79.24 ± 0.33
Cora_inter0.10_intra0.50_total3000_Ar1_0.57_ArScore_0.29,1.75 ± 0.54,4.41 ± 0.40,75.69 ± 2.71,76.76 ± 0.96
Cora_inter0.10_intra0.50_total4500_Ar1_0.50_ArScore_0.20,3.33 ± 2.18,6.29 ± 2.42,74.31 ± 2.37,75.82 ± 0.59
Cora_inter0.10_intra0.50_total7000_Ar1_0.38_ArScore_0.11,2.22 ± 0.59,5.10 ± 0.44,74.26 ± 1.19,75.85 ± 0.55
Cora_inter0.00_intra0.00_total0_Ar1_0.72_ArScore_0.81,0.79 ± 0.58,5.18 ± 0.80,79.46 ± 1.90,80.36 ± 0.69
Cora_inter0.10_intra0.50_total50_Ar1_0.71_ArScore_0.72,1.61 ± 0.93,4.48 ± 0.55,79.37 ± 0.68,79.93 ± 0.19
Cora_inter0.10_intra0.50_total250_Ar1_0.70_ArScore_0.62,2.53 ± 1.81,6.77 ± 0.66,80.31 ± 1.03,81.16 ± 0.04
Cora_inter0.10_intra0.50_total1000_Ar1_0.67_ArScore_0.49,1.27 ± 0.94,4.26 ± 0.84,78.51 ± 1.29,78.76 ± 0.04
Cora_inter0.10_intra0.50_total1750_Ar1_0.63_ArScore_0.40,1.78 ± 0.21,4.99 ± 0.01,78.07 ± 1.34,79.24 ± 0.33
Cora_inter0.10_intra0.50_total3000_Ar1_0.57_ArScore_0.29,1.75 ± 0.54,4.41 ± 0.40,75.69 ± 2.71,76.76 ± 0.96
Cora_inter0.10_intra0.50_total4500_Ar1_0.50_ArScore_0.20,3.33 ± 2.18,6.29 ± 2.42,74.31 ± 2.37,75.82 ± 0.59
Cora_inter0.10_intra0.50_total7000_Ar1_0.38_ArScore_0.11,2.22 ± 0.59,5.10 ± 0.44,74.26 ± 1.19,75.85 ± 0.55
Cora_inter0.10_intra0.50_total8500_Ar1_0.33_ArScore_0.08,0.26 ± 0.25,2.47 ± 0.18,71.98 ± 1.47,72.56 ± 0.54
Cora_inter0.10_intra0.50_total11250_Ar1_0.22_ArScore_0.04,1.65 ± 1.83,2.80 ± 0.04,70.54 ± 1.40,71.88 ± 0.78


Cora_inter0.00_intra0.00_total0_Ar1_0.72_ArScore_0.81,0.79 ± 0.58,5.18 ± 0.80,79.46 ± 1.90,80.36 ± 0.69
Cora_inter0.50_intra0.50_total50_Ar1_0.71_ArScore_0.70,0.13 ± 0.00,4.72 ± 0.06,80.20 ± 1.46,80.98 ± 0.08
Cora_inter0.50_intra0.50_total250_Ar1_0.70_ArScore_0.63,1.99 ± 0.62,5.32 ± 1.01,79.65 ± 0.80,80.03 ± 0.55
Cora_inter0.50_intra0.50_total1000_Ar1_0.67_ArScore_0.50,4.01 ± 4.01,8.01 ± 0.78,78.78 ± 1.33,79.96 ± 0.37

Cora_inter0.50_intra0.50_total1750_Ar1_0.63_ArScore_0.42,1.18 ± 1.12,3.68 ± 0.38,77.41 ± 2.76,77.70 ± 1.63
Cora_inter0.50_intra0.50_total3000_Ar1_0.58_ArScore_0.32,2.06 ± 2.47,3.13 ± 0.50,76.41 ± 1.13,76.84 ± 0.60
Cora_inter0.50_intra0.50_total4500_Ar1_0.52_ArScore_0.24,2.97 ± 0.95,5.60 ± 0.54,74.58 ± 1.77,75.58 ± 1.07
Cora_inter0.50_intra0.50_total7000_Ar1_0.44_ArScore_0.15,2.26 ± 0.15,4.86 ± 0.63,72.76 ± 0.72,73.53 ± 0.22
Cora_inter0.50_intra0.50_total8500_Ar1_0.40_ArScore_0.13,1.36 ± 0.53,3.27 ± 0.43,71.38 ± 1.34,72.51 ± 0.67
Cora_inter0.50_intra0.50_total11250_Ar1_0.33_ArScore_0.09,0.75 ± 0.02,2.87 ± 0.54,69.58 ± 1.22,70.25 ± 0.47
% lower is less automorphismCora_inter0.00_intra0.00_total0_Orbits_1007.00_ArScore_0.81,0.79 ± 0.58,5.18 ± 0.80,79.46 ± 1.90,80.36 ± 0.69

