Metric,Hits@1,MRR,AUC,AP
ogbl-ddi_inter0.00_intra0.00_total0_Orbits_150.00_Norm_0.32_ArScore_0.57,0.84 ± 1.18,3.25 ± 1.37,73.55 ± 3.33,69.82 ± 2.82
ogbl-ddi_inter0.50_intra0.50_total0_Orbits_150.00_Norm_0.32_ArScore_0.57,0.76 ± 0.90,4.31 ± 1.88,71.92 ± 4.90,69.20 ± 4.79
ogbl-ddi_inter0.50_intra0.50_total2_Orbits_250.00_Norm_0.31_ArScore_0.29,0.23 ± 0.44,2.59 ± 0.75,71.32 ± 3.74,67.13 ± 4.61
ogbl-ddi_inter0.50_intra0.50_total4_Orbits_238.00_Norm_0.30_ArScore_0.32,1.04 ± 1.08,3.24 ± 1.36,73.76 ± 4.57,70.14 ± 4.73
ogbl-ddi_inter0.50_intra0.50_total6_Orbits_286.00_Norm_0.30_ArScore_0.19,1.26 ± 2.02,3.22 ± 1.86,73.44 ± 3.22,69.02 ± 3.53
ogbl-ddi_inter0.50_intra0.50_total8_Orbits_295.00_Norm_0.29_ArScore_0.16,0.55 ± 0.58,2.93 ± 1.28,71.90 ± 4.92,69.20 ± 5.34
ogbl-ddi_inter0.50_intra0.50_total10_Orbits_295.00_Norm_0.29_ArScore_0.16,1.03 ± 1.84,5.08 ± 2.04,74.15 ± 3.78,71.78 ± 4.49
ogbl-ddi_inter0.50_intra0.50_total12_Orbits_295.00_Norm_0.29_ArScore_0.16,0.48 ± 0.64,2.73 ± 0.98,72.89 ± 4.13,68.28 ± 4.76
ogbl-ddi_inter0.50_intra0.50_total14_Orbits_298.00_Norm_0.27_ArScore_0.15,0.13 ± 0.28,2.20 ± 0.57,73.30 ± 3.92,69.01 ± 4.18
ogbl-ddi_inter0.50_intra0.50_total16_Orbits_298.00_Norm_0.27_ArScore_0.15,0.68 ± 1.48,2.99 ± 1.67,73.27 ± 3.93,69.11 ± 5.26
ogbl-ddi_inter0.50_intra0.50_total18_Orbits_300.00_Norm_0.27_ArScore_0.15,0.25 ± 0.51,2.57 ± 0.76,72.31 ± 4.19,67.87 ± 4.06
ogbl-ddi_inter0.50_intra0.50_total20_Orbits_301.00_Norm_0.27_ArScore_0.14,0.75 ± 1.19,3.42 ± 1.32,76.00 ± 4.17,73.05 ± 3.53
ogbl-ddi_inter0.50_intra0.50_total22_Orbits_300.00_Norm_0.27_ArScore_0.15,0.20 ± 0.17,2.62 ± 0.44,72.19 ± 3.88,68.84 ± 2.99
ogbl-ddi_inter0.50_intra0.50_total24_Orbits_300.00_Norm_0.27_ArScore_0.15,0.50 ± 0.49,3.35 ± 1.07,75.66 ± 5.18,71.49 ± 5.62
ogbl-ddi_inter0.50_intra0.50_total26_Orbits_301.00_Norm_0.27_ArScore_0.14,0.86 ± 0.97,3.22 ± 1.07,70.64 ± 5.73,66.56 ± 5.56
ogbl-ddi_inter0.50_intra0.50_total28_Orbits_301.00_Norm_0.27_ArScore_0.14,0.13 ± 0.31,2.95 ± 1.00,71.11 ± 5.58,67.60 ± 4.89
ogbl-ddi_inter0.50_intra0.50_total30_Orbits_302.00_Norm_0.26_ArScore_0.14,0.30 ± 0.67,2.29 ± 1.00,73.00 ± 5.52,67.97 ± 5.03
ogbl-ddi_inter0.50_intra0.50_total32_Orbits_301.00_Norm_0.27_ArScore_0.14,0.13 ± 0.21,2.37 ± 0.49,73.74 ± 4.92,68.55 ± 5.16
ogbl-ddi_inter0.50_intra0.50_total34_Orbits_301.00_Norm_0.27_ArScore_0.14,1.68 ± 2.10,3.55 ± 1.79,72.74 ± 4.11,68.78 ± 4.51
ogbl-ddi_inter0.50_intra0.50_total36_Orbits_302.00_Norm_0.26_ArScore_0.14,0.47 ± 0.64,2.04 ± 0.62,72.41 ± 4.21,67.39 ± 4.79
ogbl-ddi_inter0.50_intra0.50_total38_Orbits_301.00_Norm_0.27_ArScore_0.14,0.30 ± 0.44,3.01 ± 0.77,73.75 ± 1.69,70.25 ± 2.06
