Metric,CN_mean,RA_mean,AA_mean,CN_var,RA_var,AA_var
Hits@20,0.26152000000000003,0.26152000000000003,0.26152000000000003,0.00010447959999999995,0.00010447959999999995,0.00010447959999999995
Hits@50,0.26152000000000003,0.26152000000000003,0.26152000000000003,0.00010447959999999995,0.00010447959999999995,0.00010447959999999995
Hits@100,0.26152000000000003,0.26152000000000003,0.26152000000000003,0.00010447959999999995,0.00010447959999999995,0.00010447959999999995
AUC,0.62938,0.62952,0.62952,2.8123600000000145e-05,2.7747600000000117e-05,2.7747600000000117e-05
AP,0.6285999999999998,0.62984,0.6299399999999999,3.0061999999999883e-05,2.643239999999997e-05,2.626039999999992e-05
mrr_hit1,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit3,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit10,1.0,1.0,1.0,0.0,0.0,0.0
MRR,0.6666999999999998,0.6666999999999998,0.6666999999999998,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32
mrr_hit20,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit50,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit100,1.0,1.0,1.0,0.0,0.0,0.0
