Metric,CN_mean,RA_mean,AA_mean,CN_var,RA_var,AA_var
Hits@20,0.16118000000000002,0.2156,0.20217000000000002,0.00030911960000000016,0.000542474,0.0009182241000000003
Hits@50,0.24047999999999997,0.33703000000000005,0.32308,0.0002016755999999999,0.0006504320999999998,0.00035310159999999964
Hits@100,0.32719000000000004,0.4626900000000001,0.42278000000000004,0.0002638148999999998,0.0003806829,0.00019098559999999992
AUC,0.9484899999999999,0.95468,0.95286,2.968999999999899e-07,3.235999999999998e-07,3.1240000000000494e-07
AP,0.9442999999999999,0.95587,0.9534900000000001,2.5199999999998664e-07,3.0410000000000675e-07,2.5889999999998673e-07
mrr_hit1,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit3,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit10,1.0,1.0,1.0,0.0,0.0,0.0
MRR,0.6666999999999998,0.6666999999999998,0.6666999999999998,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32
mrr_hit20,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit50,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit100,1.0,1.0,1.0,0.0,0.0,0.0
