Metric,CN_mean,RA_mean,AA_mean,CN_var,RA_var,AA_var
Hits@20,0.33060999999999996,0.33060999999999996,0.33060999999999996,0.0001889009,0.0001889009,0.0001889009
Hits@50,0.33060999999999996,0.33060999999999996,0.33060999999999996,0.0001889009,0.0001889009,0.0001889009
Hits@100,0.33060999999999996,0.33060999999999996,0.33060999999999996,0.0001889009,0.0001889009,0.0001889009
AUC,0.6622399999999999,0.6627400000000001,0.6627500000000001,4.962239999999994e-05,4.8650399999999896e-05,4.8574499999999906e-05
AP,0.66033,0.66371,0.6637200000000001,5.095209999999985e-05,4.607490000000011e-05,4.586160000000027e-05
mrr_hit1,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit3,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit10,1.0,1.0,1.0,0.0,0.0,0.0
MRR,0.6666999999999998,0.6666999999999998,0.6666999999999998,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32
mrr_hit20,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit50,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit100,1.0,1.0,1.0,0.0,0.0,0.0
