Metric,CN_mean,RA_mean,AA_mean,CN_var,RA_var,AA_var
Hits@20,0.22028000000000003,0.29156,0.27405,0.0003700736,0.0006764204000000002,0.0009070224999999999
Hits@50,0.33224000000000004,0.44383,0.41335,0.0005545323999999998,0.0004282460999999995,0.00016935049999999992
Hits@100,0.45043999999999984,0.58394,0.53653,0.0005231904,0.00020493039999999995,0.00017806810000000015
AUC,0.95396,0.9581800000000001,0.95685,1.0023999999999938e-06,8.036000000000011e-07,8.665000000000058e-07
AP,0.9501799999999999,0.95837,0.9566700000000001,1.1156000000000097e-06,7.461000000000057e-07,9.58100000000006e-07
mrr_hit1,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit3,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit10,1.0,1.0,1.0,0.0,0.0,0.0
MRR,0.6666999999999998,0.6666999999999998,0.6666999999999998,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32
mrr_hit20,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit50,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit100,1.0,1.0,1.0,0.0,0.0,0.0
