Metric,CN_mean,RA_mean,AA_mean,CN_var,RA_var,AA_var
Hits@20,0.23257999999999995,0.23257999999999995,0.23257999999999995,8.899600000000009e-06,8.899600000000009e-06,8.899600000000009e-06
Hits@50,0.23257999999999995,0.23257999999999995,0.23257999999999995,8.899600000000009e-06,8.899600000000009e-06,8.899600000000009e-06
Hits@100,0.23257999999999995,0.23257999999999995,0.23257999999999995,8.899600000000009e-06,8.899600000000009e-06,8.899600000000009e-06
AUC,0.6156200000000001,0.61564,0.6156599999999999,1.997600000000043e-06,2.0364000000000403e-06,2.016400000000042e-06
AP,0.61534,0.6156900000000001,0.61574,1.8443999999999944e-06,1.950900000000047e-06,1.8944000000000515e-06
mrr_hit1,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit3,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit10,1.0,1.0,1.0,0.0,0.0,0.0
MRR,0.6666999999999998,0.6666999999999998,0.6666999999999998,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32
mrr_hit20,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit50,1.0,1.0,1.0,0.0,0.0,0.0
mrr_hit100,1.0,1.0,1.0,0.0,0.0,0.0
