Validation Mean,Validation Std,Test Mean,Test Std
Cora_GCNCN1,0.9866920152091254,0.005703422053231988,0.8957016434892542,0.008217446270543605
key,Validation Mean,Validation Std,Test Mean,Test Std
Cora_GCNCN1_1,0.9904942965779467,0.005703422053231932,0.8944374209860936,0.004424778761061954
key,Validation Mean,Validation Std,Test Mean,Test Std
Cora_GCNCN1_1,0.9866920152091254,0.005703422053231988,0.893173198482933,0.02970922882427307
key,Validation Mean,Validation Std,Test Mean,Test Std
Cora_GCNCN1,0.9904942965779469,0.0019011406844106626,0.9222503160556258,0.004424778761061954
key,Validation Mean,Validation Std,Test Mean,Test Std
Cora_GCNCN1,0.9866920152091254,0.005703422053231988,0.9058154235145386,0.010745891276864705
collab_gcn_cn1_64,0.6435074229412157,0.0014230077890952653,0.6454056854238166,0.0009281443588249338
