Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,AUC,AP
gcn_test,17.08 ± 11.73,43.46 ± 7.91,59.37 ± 4.20,81.26 ± 1.59,34.01 ± 7.50,92.55 ± 1.00,93.57 ± 0.55
GCN,17.08 ± 11.73,43.46 ± 7.91,59.37 ± 4.20,81.26 ± 1.59,34.01 ± 7.50,92.55 ± 1.00,93.57 ± 0.55
GCN,17.08 ± 11.73,43.46 ± 7.91,59.37 ± 4.20,81.26 ± 1.59,34.01 ± 7.50,92.55 ± 1.00,93.57 ± 0.55
GCN,17.08 ± 11.73,43.46 ± 7.91,59.37 ± 4.20,81.26 ± 1.59,34.01 ± 7.50,92.55 ± 1.00,93.57 ± 0.55
GCN,17.08 ± 11.73,43.46 ± 7.91,59.37 ± 4.20,81.26 ± 1.59,34.01 ± 7.50,92.55 ± 1.00,93.57 ± 0.55
GIN,10.66 ± 7.71,24.87 ± 4.49,41.01 ± 4.90,76.15 ± 1.88,21.59 ± 4.23,91.38 ± 0.50,92.00 ± 0.35
GIN,10.66 ± 7.71,24.87 ± 4.49,41.01 ± 4.90,76.15 ± 1.88,21.59 ± 4.23,91.38 ± 0.50,92.00 ± 0.35
GIN,10.66 ± 7.71,24.87 ± 4.49,41.01 ± 4.90,76.15 ± 1.88,21.59 ± 4.23,91.38 ± 0.50,92.00 ± 0.35
GIN,10.66 ± 7.71,24.87 ± 4.49,41.01 ± 4.90,76.15 ± 1.88,21.59 ± 4.23,91.38 ± 0.50,92.00 ± 0.35
SAGE,14.90 ± 10.39,35.08 ± 11.65,55.01 ± 4.64,84.58 ± 1.32,29.49 ± 6.37,93.88 ± 0.47,94.30 ± 0.33
SAGE,14.90 ± 10.39,35.08 ± 11.65,55.01 ± 4.64,84.58 ± 1.32,29.49 ± 6.37,93.88 ± 0.47,94.30 ± 0.33
SAGE,14.90 ± 10.39,35.08 ± 11.65,55.01 ± 4.64,84.58 ± 1.32,29.49 ± 6.37,93.88 ± 0.47,94.30 ± 0.33
SAGE,14.90 ± 10.39,35.08 ± 11.65,55.01 ± 4.64,84.58 ± 1.32,29.49 ± 6.37,93.88 ± 0.47,94.30 ± 0.33
GAT,9.20 ± 7.00,36.55 ± 7.01,57.32 ± 3.22,82.58 ± 1.22,25.12 ± 5.51,92.88 ± 0.69,93.53 ± 0.43
GAT,10.67 ± 8.05,37.80 ± 8.77,58.89 ± 2.50,82.28 ± 1.81,30.75 ± 4.00,93.19 ± 0.59,93.84 ± 0.46
GAT,6.42 ± 5.58,39.47 ± 6.09,59.10 ± 2.97,82.22 ± 1.61,25.51 ± 5.45,92.92 ± 0.79,93.83 ± 0.54
GAT,11.61 ± 5.95,37.92 ± 10.03,60.54 ± 2.01,82.85 ± 0.97,28.05 ± 3.88,93.00 ± 0.71,93.68 ± 0.52
Best,9.20 ± 7.00,43.46 ± 7.91,60.54 ± 2.01,84.58 ± 1.32,34.01 ± 7.50,93.88 ± 0.47,94.30 ± 0.33
