Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,AUC,AP
gcn_test,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
gcn_test,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
GCN,6.37 ± 2.83,9.65 ± 1.43,21.69 ± 1.33,67.88 ± 1.78,11.27 ± 1.75,97.90 ± 0.05,97.75 ± 0.05
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
SAGE,0.85 ± 0.55,4.48 ± 2.56,15.30 ± 3.41,64.67 ± 1.57,5.94 ± 1.17,97.51 ± 0.07,97.28 ± 0.13
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
SAGE,0.85 ± 0.55,4.48 ± 2.56,15.30 ± 3.41,64.67 ± 1.57,5.94 ± 1.17,97.51 ± 0.07,97.28 ± 0.13
SAGE,0.85 ± 0.55,4.48 ± 2.56,15.30 ± 3.41,64.67 ± 1.57,5.94 ± 1.17,97.51 ± 0.07,97.28 ± 0.13
GIN,11.17 ± 2.15,16.64 ± 2.34,25.36 ± 2.38,64.81 ± 1.48,16.30 ± 2.09,97.93 ± 0.05,97.74 ± 0.06
SAGE,0.85 ± 0.55,4.48 ± 2.56,15.30 ± 3.41,64.67 ± 1.57,5.94 ± 1.17,97.51 ± 0.07,97.28 ± 0.13
GAT,1.25 ± 0.98,3.51 ± 2.01,11.71 ± 2.58,56.86 ± 2.03,5.86 ± 1.50,96.90 ± 0.08,96.58 ± 0.14
GAT,1.19 ± 0.67,2.56 ± 0.94,12.36 ± 3.19,58.43 ± 2.69,4.60 ± 1.06,96.97 ± 0.06,96.62 ± 0.13
GAT,1.49 ± 1.17,3.12 ± 2.06,11.84 ± 1.95,58.10 ± 3.44,4.92 ± 0.99,96.89 ± 0.11,96.56 ± 0.18
GAT,1.92 ± 1.51,3.38 ± 1.13,10.73 ± 1.44,57.93 ± 1.96,5.18 ± 1.15,96.92 ± 0.06,96.59 ± 0.13
Best,6.37 ± 2.83,9.65 ± 1.43,25.36 ± 2.38,67.88 ± 1.78,5.94 ± 1.17,97.93 ± 0.05,97.75 ± 0.05
