Metric,Hits@20,Hits@50,Hits@100,AUC,AP
ddi_ogb_trainer,32.42 ± 6.33,59.58 ± 6.35,73.87 ± 0.56,99.76 ± 0.01,99.81 ± 0.02
ddi_ogb_trainer,14.11 ± 3.48,19.38 ± 2.00,21.75 ± 1.24,94.19 ± 0.07,95.35 ± 0.21
ddi_ogb_trainer,14.11 ± 3.48,19.38 ± 2.00,21.75 ± 1.24,93.65 ± 0.06,94.87 ± 0.06
ddi_ogb_trainer,14.11 ± 3.48,19.38 ± 2.00,21.75 ± 1.24,93.65 ± 0.06,94.87 ± 0.06
ddi,17.65 ± 1.26,21.06 ± 0.21,23.42 ± 0.56,93.47 ± 0.28,94.89 ± 0.31
ddi,17.41 ± 1.10,20.48 ± 1.74,23.09 ± 2.36,93.21 ± 0.59,94.71 ± 0.49
ddi,17.65 ± 1.26,21.06 ± 0.21,23.42 ± 0.56,93.47 ± 0.28,94.89 ± 0.31
ddi_debug,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00,58.27 ± 0.00
ddi_debug,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00,58.27 ± 0.00
ddi,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00,58.27 ± 0.00
ddi,12.60 ± 4.06,18.07 ± 2.88,21.16 ± 3.16,93.46 ± 0.34,94.90 ± 0.27
ddi,12.60 ± 4.06,18.07 ± 2.88,21.16 ± 3.16,93.46 ± 0.34,94.90 ± 0.27
ddi,12.60 ± 4.06,18.07 ± 2.88,21.16 ± 3.16,93.46 ± 0.34,94.90 ± 0.27
Best,32.42 ± 6.33,59.58 ± 6.35,73.87 ± 0.56,99.76 ± 0.01,99.81 ± 0.02
