Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,AUC,AP
gcn_test,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
GCN,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
GCN,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
GCN,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
GCN,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
GIN,10.05 ± 7.12,20.56 ± 5.34,38.73 ± 4.68,78.50 ± 1.72,20.45 ± 4.83,93.02 ± 0.37,93.33 ± 0.37
GIN,10.05 ± 7.12,20.56 ± 5.34,38.73 ± 4.68,78.50 ± 1.72,20.45 ± 4.83,93.02 ± 0.37,93.33 ± 0.37
GIN,10.05 ± 7.12,20.56 ± 5.34,38.73 ± 4.68,78.50 ± 1.72,20.45 ± 4.83,93.02 ± 0.37,93.33 ± 0.37
GIN,10.05 ± 7.12,20.56 ± 5.34,38.73 ± 4.68,78.50 ± 1.72,20.45 ± 4.83,93.02 ± 0.37,93.33 ± 0.37
SAGE,17.68 ± 8.75,31.91 ± 8.35,52.52 ± 2.02,80.39 ± 1.26,28.95 ± 5.81,93.39 ± 0.35,93.85 ± 0.34
SAGE,17.68 ± 8.75,31.91 ± 8.35,52.52 ± 2.02,80.39 ± 1.26,28.95 ± 5.81,93.39 ± 0.35,93.85 ± 0.34
SAGE,17.68 ± 8.75,31.91 ± 8.35,52.52 ± 2.02,80.39 ± 1.26,28.95 ± 5.81,93.39 ± 0.35,93.85 ± 0.34
SAGE,17.68 ± 8.75,31.91 ± 8.35,52.52 ± 2.02,80.39 ± 1.26,28.95 ± 5.81,93.39 ± 0.35,93.85 ± 0.34
GAT,11.61 ± 5.27,32.41 ± 6.42,49.86 ± 4.15,79.04 ± 1.52,25.40 ± 2.77,92.76 ± 0.34,93.28 ± 0.36
GAT,17.30 ± 8.62,33.39 ± 6.72,51.65 ± 6.11,79.23 ± 1.43,29.42 ± 4.82,92.60 ± 0.36,93.31 ± 0.21
GAT,9.68 ± 8.41,33.91 ± 8.57,49.59 ± 6.11,79.19 ± 1.52,25.11 ± 4.70,92.76 ± 0.34,93.25 ± 0.28
GAT,14.69 ± 5.16,34.23 ± 6.56,51.42 ± 4.07,79.59 ± 1.46,26.24 ± 4.51,92.52 ± 0.40,93.34 ± 0.26
GCN,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
Cora_GCN_confirm,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
Cora_GCN_confirm,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
Cora_GCN_confirm,19.90 ± 6.90,33.99 ± 5.97,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.04 ± 0.42,93.61 ± 0.32
Best,9.68 ± 8.41,34.23 ± 6.56,54.45 ± 6.29,82.47 ± 1.26,30.84 ± 4.73,93.39 ± 0.35,93.85 ± 0.34
