,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0
Graph Name,GraphType.BARABASI_ALBERT_Perturbation_None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,0.27151515151515154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,GraphType.BARABASI_ALBERT_Perturbation_None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,0.27151515151515154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,,GraphType.BARABASI_ALBERT_Perturbation_None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,,0.27151515151515154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,,,GraphType.BARABASI_ALBERT_Perturbation_None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,,,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,,,0.27151515151515154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,,,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,,,,GraphType.BARABASI_ALBERT_Perturbation_None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,,,,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,,,,0.27151515151515154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,,,,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,,,,,RegularTilling.TRIANGULAR_Perturbation_None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,,,,,2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,,,,,6090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,,,,,0.0027870641779876846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,,,,,5.824964131994261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,,,,,,RegularTilling.TRIANGULAR_Perturbation_0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,,,,,,2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,,,,,,6090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,,,,,,0.0027870641779876846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,,,,,,5.824964131994261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,,,,,,,RegularTilling.TRIANGULAR_Perturbation_0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,,,,,,,2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,,,,,,,6090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,,,,,,,0.0027870641779876846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,,,,,,,5.824964131994261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph Name,,,,,,,,,RegularTilling.TRIANGULAR_Perturbation_0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nodes,,,,,,,,,2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Edges,,,,,,,,,6090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density,,,,,,,,,0.0027870641779876846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Degree,,,,,,,,,5.824964131994261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Degree,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Degree,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
