Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.1292587566511629,0.8837927304755915,0.7675854609511831,1826,-0.23241453904881706,6654,0.7255785993387436,Citeseer_inter0.5_intra0.5_edges1000
0.13031477571136285,0.8842548819611521,0.7685097639223042,1763,-0.23149023607769592,6654,0.7350465885181845,Citeseer_inter0.5_intra0.5_edges1000
0.13031477571136285,0.8842548819611521,0.7685097639223042,1763,-0.23149023607769592,6654,0.7350465885181845,Citeseer_inter0.5_intra0.5_edges1000
0.13031477571136285,0.8842548819611521,0.7685097639223042,1763,-0.23149023607769592,6654,0.7350465885181845,Citeseer_inter0.5_intra0.5_edges1000
0.1304235034843931,0.8843022522824845,0.7686045045649692,1821,-0.23139549543503093,6654,0.7263300270513977,Citeseer_inter0.5_intra0.5_edges1000
0.1314437918971203,0.8847448554289166,0.7694897108578332,1792,-0.23051028914216687,6654,0.7306883077847911,Citeseer_inter0.5_intra0.5_edges1000
0.1285587340925215,0.8834842900218726,0.7669685800437455,1816,-0.2330314199562548,6654,0.7270814547640516,Citeseer_inter0.5_intra0.5_edges1000
0.1323053928704394,0.8851159522272956,0.7702319044545911,1848,-0.229768095545409,6654,0.7222723174030659,Citeseer_inter0.5_intra0.0_edges1000,0.0
0.13054930608010948,0.8843570124770231,0.7687140249540465,1801,-0.2312859750459537,6654,0.7293357379020138,Citeseer_inter0.5_intra0.0_edges1000,0.0
0.12897544107474174,0.8836680990739608,0.7673361981479219,1811,-0.23266380185207836,6654,0.7278328824767057,Citeseer_inter0.5_intra0.0_edges1000,0.0
0.12981965102495463,0.8840386659350757,0.7680773318701517,1803,-0.23192266812984846,6654,0.7290351668169521,Citeseer_inter0.5_intra0.0_edges1000,0.0
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.4562465481749835,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596336,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
