Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.08503321304128694,0.8566545879818025,0.7133091759636048,1657,-0.28669082403639495,5416,0.6940546528803545,Cora_inter0.1_intra0.5_edges50
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.08503321304128694,0.8566545879818025,0.7133091759636048,1657,-0.28669082403639495,5416,0.6940546528803545,Cora_inter0.1_intra0.5_edges50
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.08503321304128694,0.8566545879818025,0.7133091759636048,1657,-0.28669082403639495,5416,0.6940546528803545,Cora_inter0.1_intra0.5_edges50
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.08503321304128694,0.8566545879818025,0.7133091759636048,1657,-0.28669082403639495,5416,0.6940546528803545,Cora_inter0.1_intra0.5_edges50
0.07648831407133304,0.8504953138050882,0.7009906276101763,2036,-0.2990093723898236,5416,0.6240768094534712,Cora_inter0.1_intra0.5_edges250
0.05749227083601518,0.8338916318738128,0.6677832637476253,2783,-0.3322167362523745,5416,0.4861521418020679,Cora_inter0.1_intra0.5_edges1000
0.04152475623405894,0.814968957459662,0.6299379149193239,3228,-0.3700620850806759,5416,0.4039881831610044,Cora_inter0.1_intra0.5_edges1750
0.02502125929190603,0.7855076743008973,0.5710153486017944,3849,-0.42898465139820546,5416,0.28932791728212703,Cora_inter0.1_intra0.5_edges3000
0.013772721123908808,0.7507846258567823,0.5015692517135646,4353,-0.49843074828643535,5416,0.19627031019202368,Cora_inter0.1_intra0.5_edges4500
0.005054775063327872,0.6924885110043418,0.38497702200868344,4835,-0.6150229779913164,5416,0.10727474150664695,Cora_inter0.1_intra0.5_edges7000
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.08503321304128694,0.8566545879818025,0.7133091759636048,1657,-0.28669082403639495,5416,0.6940546528803545,Cora_inter0.1_intra0.5_edges50
0.07648831407133304,0.8504953138050882,0.7009906276101763,2036,-0.2990093723898236,5416,0.6240768094534712,Cora_inter0.1_intra0.5_edges250
0.05749227083601518,0.8338916318738128,0.6677832637476253,2783,-0.3322167362523745,5416,0.4861521418020679,Cora_inter0.1_intra0.5_edges1000
0.04152475623405894,0.814968957459662,0.6299379149193239,3228,-0.3700620850806759,5416,0.4039881831610044,Cora_inter0.1_intra0.5_edges1750
0.02502125929190603,0.7855076743008973,0.5710153486017944,3849,-0.42898465139820546,5416,0.28932791728212703,Cora_inter0.1_intra0.5_edges3000
0.013772721123908808,0.7507846258567823,0.5015692517135646,4353,-0.49843074828643535,5416,0.19627031019202368,Cora_inter0.1_intra0.5_edges4500
0.005054775063327872,0.6924885110043418,0.38497702200868344,4835,-0.6150229779913164,5416,0.10727474150664695,Cora_inter0.1_intra0.5_edges7000
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_inter0_intra0_edges0
0.08679191148716316,0.8578451917519935,0.7156903835039867,1007,-0.2843096164960131,5416,0.814069423929099,Cora_inter0_intra0_edges0
0.08502919027598078,0.8566518365182894,0.7133036730365785,1490,-0.2866963269634213,5416,0.7248892171344166,Cora_inter0.1_intra0.5_edges50
0.07648831407133304,0.8504953138050882,0.7009906276101763,2036,-0.2990093723898236,5416,0.6240768094534712,Cora_inter0.1_intra0.5_edges250
0.05749227083601518,0.8338916318738128,0.6677832637476253,2783,-0.3322167362523745,5416,0.4861521418020679,Cora_inter0.1_intra0.5_edges1000
0.04152475623405894,0.814968957459662,0.6299379149193239,3228,-0.3700620850806759,5416,0.4039881831610044,Cora_inter0.1_intra0.5_edges1750
0.02502125929190603,0.7855076743008973,0.5710153486017944,3849,-0.42898465139820546,5416,0.28932791728212703,Cora_inter0.1_intra0.5_edges3000
