Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.0014132252198556304,0.6375377805233465,0.2750755610466932,3871,-0.7249244389533069,8534,0.5464026247949378,ogbl-ddi_original
Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.0007415985982317302,0.6019194130120206,0.20383882602404124,7833,-0.7961611739759589,8534,0.08214202015467542,ogbl-ddi_inter0.5_intra0.5_edges1000
Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.00022669492421414304,0.5364517052748119,0.07290341054962379,8308,-0.9270965894503762,8534,0.026482306069838257,ogbl-ddi_inter0.5_intra0.5_edges10000
0.006650309917355372,0.5152202553863885,0.030440510772776874,165,-0.969559489227223,176,0.0625,ogbl-ddi_inter0_intra0_edges0
0.01878873966942149,0.6610890569921067,0.32217811398421337,150,-0.6778218860157865,352,0.5738636363636364,ogbl-ddi_inter0_intra0_edges0
0.006650309917355372,0.5152202553863885,0.030440510772776874,165,-0.969559489227223,176,0.0625,ogbl-ddi_inter0_intra0_edges0
0.01878873966942149,0.6610890569921067,0.32217811398421337,150,-0.6778218860157865,352,0.5738636363636364,ogbl-ddi_inter0_intra0_edges0
0.006650309917355372,0.5152202553863885,0.030440510772776874,165,-0.969559489227223,176,0.0625,ogbl-ddi_inter0_intra0_edges0
0.01878873966942149,0.6610890569921067,0.32217811398421337,150,-0.6778218860157865,352,0.5738636363636364,ogbl-ddi_inter0_intra0_edges0
0.017900955578512397,0.6569616110894339,0.3139232221788675,205,-0.6860767778211324,352,0.41761363636363635,ogbl-ddi_inter0.5_intra0.5_edges1
0.017077737603305786,0.6529471724658005,0.30589434493160084,250,-0.6941056550683989,352,0.2897727272727273,ogbl-ddi_inter0.5_intra0.5_edges2
0.01573799070247934,0.6459806581188213,0.29196131623764243,295,-0.7080386837623575,352,0.16193181818181823,ogbl-ddi_inter0.5_intra0.5_edges3
0.016803331611570247,0.6515659000666524,0.30313180013330476,238,-0.6968681998666952,352,0.32386363636363635,ogbl-ddi_inter0.5_intra0.5_edges4
0.016028538223140498,0.6475405441774341,0.295081088354868,286,-0.7049189116451319,352,0.1875,ogbl-ddi_inter0.5_intra0.5_edges5
0.016028538223140498,0.6475405441774341,0.295081088354868,286,-0.7049189116451319,352,0.1875,ogbl-ddi_inter0.5_intra0.5_edges6
0.016028538223140498,0.6475405441774341,0.295081088354868,286,-0.7049189116451319,352,0.1875,ogbl-ddi_inter0.5_intra0.5_edges7
0.01573799070247934,0.6459806581188213,0.29196131623764243,295,-0.7080386837623575,352,0.16193181818181823,ogbl-ddi_inter0.5_intra0.5_edges8
0.01573799070247934,0.6459806581188213,0.29196131623764243,295,-0.7080386837623575,352,0.16193181818181823,ogbl-ddi_inter0.5_intra0.5_edges9
0.015286027892561983,0.6434959880450085,0.2869919760900168,295,-0.7130080239099831,352,0.16193181818181823,ogbl-ddi_inter0.5_intra0.5_edges10
0.001657742676573102,0.6170263162501806,0.23405263250036124,3925,-0.7659473674996389,4267,0.08014998828216546,ogbl-ddi_inter0_intra0_edges0
0.0014132252198556304,0.6375377805233465,0.2750755610466932,3871,-0.7249244389533069,8534,0.5464026247949378,ogbl-ddi_inter0_intra0_edges0
0.001657742676573102,0.6170263162501806,0.23405263250036124,3925,-0.7659473674996389,4267,0.08014998828216546,ogbl-ddi_inter0_intra0_edges0
0.0014132252198556304,0.6375377805233465,0.2750755610466932,3871,-0.7249244389533069,8534,0.5464026247949378,ogbl-ddi_inter0_intra0_edges0
