Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,CiteSeer_original
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,CiteSeer_original
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,CiteSeer_original
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,CiteSeer_original
0.133774460022284,0.8857431502447762,0.7714863004895527,1707,-0.2285136995104471,6654,0.7434625788999099,CiteSeer_inter0.5_intra0.1_edges1000
0.1302038345353918,0.8842065065525565,0.7684130131051132,1856,-0.23158698689488658,6654,0.7210700330628194,CiteSeer_inter0.5_intra0.5_edges1000
0.129983126642153,0.8841101451642865,0.7682202903285732,1829,-0.23177970967142658,6654,0.7251277427111512,CiteSeer_inter0.1_intra0.5_edges1000
Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.1346716561286101,0.8861228169206162,0.7722456338412327,1804,-0.22775436615876718,6654,0.7288848812744214,CiteSeer_inter0.5_intra0.5_edges1000
0.09831312496448391,0.8682491914403879,0.7364983828807761,2344,-0.26350161711922376,6654,0.6477306883077848,CiteSeer_inter0.5_intra0.2_edges1000
0.010403129336180582,0.7406757703572371,0.4813515407144745,5412,-0.5186484592855253,6654,0.18665464382326424,CiteSeer_inter0.5_intra0.5_edges10000
0.07251632023296924,0.8509626520666318,0.7019253041332636,2889,-0.29807469586673613,6654,0.5658250676284942,CiteSeer_inter0.5_intra0.3_edges1000
0.09416525302493133,0.8658007978238635,0.7316015956477275,2509,-0.2683984043522724,6654,0.6229335737902013,CiteSeer_inter0.2_intra0.5_edges1000
0.00015028554253080853,0.5,0.0,6654,-0.9999999999999996,6654,0.0,CiteSeer_inter0.5_intra0.5_edges100000
Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.010025766720520116,0.7385771494957405,0.4771542989914813,5423,-0.5228457010085186,6654,0.18500150285542527,CiteSeer_inter0.5_intra0.5_edges10000
0.055328704339868834,0.8355974004932117,0.6711948009864236,3384,-0.32880519901357613,6654,0.4914337240757439,CiteSeer_inter0.5_intra0.4_edges1000
0.0683272518958248,0.847582944424681,0.6951658888493621,3131,-0.30483411115063763,6654,0.5294559663360385,CiteSeer_inter0.3_intra0.5_edges1000
0.00015028554253080853,0.5,0.0,6654,-0.9999999999999996,6654,0.0,CiteSeer_inter0.5_intra0.5_edges100000
