Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.0014132252198556304,0.6375377805233465,0.2750755610466932,3871,-0.7249244389533069,8534,0.5464026247949378,ogbl-ddi_original
0.0007564003625141557,0.6030110557016604,0.20602211140332094,7836,-0.7939778885966792,8534,0.08179048511835008,ogbl-ddi_inter0.5_intra0.5_edges1000
0.0002285623082052468,0.5369048569788721,0.0738097139577445,8313,-0.9261902860422557,8534,0.02589641434262946,ogbl-ddi_inter0.5_intra0.5_edges10000
0.00011717834544176236,0.5,0.0,8534,-1.0,8534,0.0,ogbl-ddi_inter0.5_intra0.5_edges100000
0.0007210024512710267,0.6003636149905615,0.20072722998112302,7838,-0.799272770018877,8534,0.08155612842746662,ogbl-ddi_inter0.1_intra0.5_edges1000
0.0007617004376653767,0.6033967538797151,0.2067935077594304,7838,-0.7932064922405697,8534,0.08155612842746662,ogbl-ddi_inter0.5_intra0.1_edges1000
0.0007135603768358925,0.5997904987220861,0.19958099744417257,7848,-0.8004190025558277,8534,0.08038434497304903,ogbl-ddi_inter0.5_intra0.5_edges1000
0.0006149185636587632,0.5915724100284802,0.18314482005696053,7919,-0.8168551799430396,8534,0.07206468244668385,ogbl-ddi_inter0.2_intra0.5_edges1000
0.0006403204782436309,0.5938083683928356,0.18761673678567126,7912,-0.8123832632143289,8534,0.07288493086477621,ogbl-ddi_inter0.5_intra0.2_edges1000
0.0005149036740175871,0.5817671925155667,0.16353438503113382,7998,-0.8364656149688664,8534,0.06280759315678464,ogbl-ddi_inter0.3_intra0.5_edges1000
0.0005439579719968195,0.5847993000764222,0.16959860015284467,7988,-0.8304013998471556,8534,0.06397937661120223,ogbl-ddi_inter0.5_intra0.3_edges1000
0.0004477053118671319,0.5740425187240127,0.14808503744802537,8060,-0.8519149625519747,8534,0.05554253573939538,ogbl-ddi_inter0.4_intra0.5_edges1000
0.00044144408319107803,0.573264560257997,0.1465291205159941,8051,-0.853470879484006,8534,0.0565971408483712,ogbl-ddi_inter0.5_intra0.4_edges1000
0.00037877687337197754,0.5648074674531421,0.12961493490628462,8131,-0.8703850650937156,8534,0.0472228732130302,ogbl-ddi_inter0.5_intra0.5_edges1000
0.00038638371698279737,0.5659057917896162,0.13181158357923262,8100,-0.8681884164207676,8534,0.050855401921724885,ogbl-ddi_inter0.5_intra0.5_edges1000
0.00033514050334456714,0.5580465321593939,0.11609306431878785,8177,-0.8839069356812121,8534,0.041832669322709126,ogbl-ddi_inter0.6_intra0.5_edges1000
0.00034560334600060446,0.5597446372880499,0.11948927457609992,8148,-0.8805107254239002,8534,0.045230841340520245,ogbl-ddi_inter0.5_intra0.6_edges1000
0.00029751820822968207,0.5514691523837498,0.10293830476749988,8217,-0.8970616952325003,8534,0.03714553550503863,ogbl-ddi_inter0.7_intra0.5_edges1000
0.0003127044339220408,0.5542190442585736,0.10843808851714731,8186,-0.8915619114828529,8534,0.04077806421373331,ogbl-ddi_inter0.5_intra0.7_edges1000
0.0002691779100117541,0.5459397139375612,0.09187942787512271,8248,-0.9081205721248775,8534,0.03351300679634406,ogbl-ddi_inter0.8_intra0.5_edges1000
0.0002952389012993642,0.5510443444840171,0.10208868896803425,8205,-0.897911311031966,8534,0.03855167565033979,ogbl-ddi_inter0.5_intra0.8_edges1000
0.00024580814859367586,0.5409229739791933,0.08184594795838684,8278,-0.9181540520416133,8534,0.029997656433091158,ogbl-ddi_inter0.9_intra0.5_edges1000
0.000259017144177807,0.5438142678373743,0.0876285356747486,8248,-0.9123714643252514,8534,0.03351300679634406,ogbl-ddi_inter0.5_intra0.9_edges1000
0.0007564003625141557,0.6030110557016604,0.20602211140332094,7836,-0.7939778885966792,8534,0.08179048511835008,ogbl-ddi_inter0.5_intra0.5_edges1000
0.00020318785514966011,0.5304046174803541,0.060809234960708336,8326,-0.9391907650392919,8534,0.024373095851886517,ogbl-ddi_inter0.5_intra0.5_edges10000
0.00011717834544176236,0.5,0.0,8534,-1.0,8534,0.0,ogbl-ddi_inter0.5_intra0.5_edges100000
