Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,data_name
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,40,0.975,GraphType.COMPLETE
0.18518518518518517,0.7082730017404889,0.4165460034809778,6,-0.5834539965190221,18,0.6666666666666667,RegularTilling.TRIANGULAR
0.375,0.8231203125901445,0.646240625180289,3,-0.3537593748197109,16,0.8125,RegularTilling.SQUARE_GRID
1.0,1.0,1.0,1,0.0,100,0.99,GraphType.COMPLETE
0.08333333333333333,0.6090521459927658,0.2181042919855316,12,-0.7818957080144684,24,0.5,RegularTilling.TRIANGULAR
0.2064,0.7548928055590123,0.5097856111180246,6,-0.4902143888819753,25,0.76,RegularTilling.SQUARE_GRID
