data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,100.0 ± 0.0,100.0,"[100.0, 100.0, 20.0]","[0.0, 0.0, 44.72]",20.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[75.0, 100.0, 60.0]","[17.68, 0.0, 13.69]",60.00 ± 13.69
RegularTilling.TRIANGULAR,8000,AUC,100.0 ± 0.0,100.0,"[100.0, 100.0, 45.0]","[0.0, 0.0, 37.08]",45.00 ± 37.08
RegularTilling.TRIANGULAR,8000,AP,100.0 ± 0.0,100.0,"[100.0, 100.0, 61.67]","[0.0, 0.0, 22.51]",61.67 ± 22.51
RegularTilling.TRIANGULAR,8000,Hits@1,100.0 ± 0.0,100.0,"[100.0, 100.0, 20.0]","[0.0, 0.0, 44.72]",20.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[75.0, 100.0, 60.0]","[17.68, 0.0, 13.69]",60.00 ± 13.69
RegularTilling.TRIANGULAR,8000,AUC,100.0 ± 0.0,100.0,"[100.0, 100.0, 45.0]","[0.0, 0.0, 37.08]",45.00 ± 37.08
RegularTilling.TRIANGULAR,8000,AP,100.0 ± 0.0,100.0,"[100.0, 100.0, 61.67]","[0.0, 0.0, 22.51]",61.67 ± 22.51
