data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,70.0 ± 44.72,70.0,"[100.0, 70.0, 40.0]","[0.0, 44.72, 41.83]",40.00 ± 41.83
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[65.0, 100.0, 75.0]","[22.36, 0.0, 25.0]",75.00 ± 25.00
RegularTilling.TRIANGULAR,8000,AUC,82.5 ± 27.39,82.5,"[100.0, 82.5, 45.0]","[0.0, 27.39, 27.39]",45.00 ± 27.39
RegularTilling.TRIANGULAR,8000,AP,86.67 ± 21.73,86.67,"[100.0, 86.67, 73.33]","[0.0, 21.73, 20.75]",73.33 ± 20.75
RegularTilling.TRIANGULAR,8000,Hits@1,70.0 ± 44.72,70.0,"[100.0, 70.0, 40.0]","[0.0, 44.72, 41.83]",40.00 ± 41.83
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[65.0, 100.0, 75.0]","[22.36, 0.0, 25.0]",75.00 ± 25.00
RegularTilling.TRIANGULAR,8000,AUC,82.5 ± 27.39,82.5,"[100.0, 82.5, 45.0]","[0.0, 27.39, 27.39]",45.00 ± 27.39
RegularTilling.TRIANGULAR,8000,AP,86.67 ± 21.73,86.67,"[100.0, 86.67, 73.33]","[0.0, 21.73, 20.75]",73.33 ± 20.75
