data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
0.1 GAT,4000,AUC,55.0 ± 32.91,55.0,"[97.5, 55.0, 32.5]","[7.91, 32.91, 35.45]",32.50 ± 35.45
0.3 GAT,4000,AUC,77.5 ± 24.86,77.5,"[97.5, 77.5, 32.5]","[7.91, 24.86, 31.29]",32.50 ± 31.29
0.5 GAT,4000,AUC,62.5 ± 24.3,62.5,"[100.0, 62.5, 52.5]","[0.0, 24.3, 32.17]",52.50 ± 32.17
0.7 GAT,4000,AUC,92.5 ± 16.87,92.5,"[100.0, 92.5, 72.5]","[0.0, 16.87, 29.93]",72.50 ± 29.93
0.9 GAT,4000,AUC,97.5 ± 7.91,97.5,"[100.0, 97.5, 20.0]","[0.0, 7.91, 25.82]",20.00 ± 25.82
data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
0.1_GIN,4000,AUC,92.5 ± 12.08,92.5,"[100.0, 92.5, 87.5]","[0.0, 12.08, 27.0]",87.50 ± 27.00
0.3_GIN,4000,AUC,77.5 ± 18.45,77.5,"[100.0, 77.5, 35.0]","[0.0, 18.45, 24.15]",35.00 ± 24.15
0.5_GIN,4000,AUC,75.0 ± 11.79,75.0,"[95.0, 75.0, 27.5]","[10.54, 11.79, 27.51]",27.50 ± 27.51
0.7_GIN,4000,AUC,97.5 ± 7.91,97.5,"[100.0, 97.5, 72.5]","[0.0, 7.91, 21.89]",72.50 ± 21.89
0.9_GIN,4000,AUC,97.5 ± 7.91,97.5,"[100.0, 97.5, 75.0]","[0.0, 7.91, 37.27]",75.00 ± 37.27
data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
0.1_SAGE,4000,AUC,47.5 ± 27.51,47.5,"[100.0, 47.5, 20.0]","[0.0, 27.51, 25.82]",20.00 ± 25.82
0.3_SAGE,4000,AUC,75.0 ± 16.67,75.0,"[100.0, 75.0, 60.0]","[0.0, 16.67, 24.15]",60.00 ± 24.15
0.5_SAGE,4000,AUC,80.0 ± 22.97,80.0,"[100.0, 80.0, 60.0]","[0.0, 22.97, 26.87]",60.00 ± 26.87
0.7_SAGE,4000,AUC,87.5 ± 21.25,87.5,"[100.0, 87.5, 70.0]","[0.0, 21.25, 34.96]",70.00 ± 34.96
0.9_SAGE,4000,AUC,95.0 ± 15.81,95.0,"[100.0, 95.0, 45.0]","[0.0, 15.81, 34.96]",45.00 ± 34.96
