Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.45624654817498306,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
0.1792150803388476,0.902352958532398,0.8047059170647962,816,-0.19529408293520353,6654,0.8773669972948602,Citeseer_inter0.5_intra0.5_edges37
0.16663427870934938,0.898218833403563,0.7964376668071262,1241,-0.2035623331928735,6654,0.8134956417192666,Citeseer_inter0.5_intra0.5_edges250
0.12340141489750273,0.8811587520993317,0.7623175041986636,1943,-0.23768249580133616,6654,0.707995190862639,Citeseer_inter0.5_intra0.5_edges1125
0.09590096747390828,0.8668382211791333,0.7336764423582669,2380,-0.2663235576417329,6654,0.6423204087766756,Citeseer_inter0.5_intra0.5_edges2000
0.06303157243126233,0.84300080296414,0.6860016059282803,3175,-0.3139983940717196,6654,0.5228434024646829,Citeseer_inter0.5_intra0.5_edges3500
0.012594759619471766,0.7515342698503801,0.5030685397007603,5232,-0.4969314602992395,6654,0.21370604147880978,Citeseer_inter0.5_intra0.5_edges10000
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.45624654817498306,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
0.17797697500815118,0.9019592016573745,0.8039184033147492,1026,-0.19608159668525063,6654,0.8458070333633905,Citeseer_inter0.1_intra0.5_edges50
0.16752347946219548,0.8985211207065555,0.7970422414131111,1271,-0.20295775858688858,6654,0.8089870754433424,Citeseer_inter0.1_intra0.5_edges250
0.12634840281295506,0.8824992432156128,0.7649984864312258,1912,-0.23500151356877397,6654,0.7126540426810941,Citeseer_inter0.1_intra0.5_edges1000
0.10136861479552357,0.8699875805710202,0.7399751611420406,2359,-0.26002483885795913,6654,0.6454764051698227,Citeseer_inter0.1_intra0.5_edges1750
0.06492041822655109,0.844677874603298,0.6893557492065963,3242,-0.3106442507934035,6654,0.5127742711151188,Citeseer_inter0.1_intra0.5_edges3000
0.040216040775037945,0.8174770516722353,0.6349541033444708,4145,-0.365045896655529,6654,0.3770664262097986,Citeseer_inter0.1_intra0.5_edges4500
0.016835684825514736,0.7680184673584323,0.5360369347168649,5122,-0.463963065283135,6654,0.23023745115719862,Citeseer_inter0.1_intra0.5_edges7000
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.45624654817498306,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
0.16895518979297816,0.8990044808642182,0.7980089617284364,1203,-0.2019910382715632,6654,0.8192064923354373,Citeseer_inter0.1_intra0.5_edges200
0.12779068327206725,0.8831439370634937,0.7662878741269876,1916,-0.23371212587301216,6654,0.7120529005109708,Citeseer_inter0.1_intra0.5_edges1000
0.04634039119773919,0.8255281960542531,0.6510563921085062,3894,-0.3489436078914934,6654,0.41478809738503153,Citeseer_inter0.1_intra0.5_edges4000
0.018509514335126733,0.7734021117755238,0.5468042235510477,5079,-0.45319577644895215,6654,0.23669972948602347,Citeseer_inter0.1_intra0.5_edges7000
0.003569993086051957,0.6799268083864641,0.3598536167729286,6079,-0.6401463832270713,6654,0.08641418695521486,Citeseer_inter0.1_intra0.5_edges12000
0.0008988222799152474,0.601587732597004,0.2031754651940083,6426,-0.7968245348059915,6654,0.0342651036970244,Citeseer_inter0.1_intra0.5_edges18000
0.00018931370867045945,0.5131130903123459,0.026226180624692286,6610,-0.9737738193753077,6654,0.006612563871355559,Citeseer_inter0.1_intra0.5_edges28000
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.45624654817498306,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
0.16895518979297816,0.8990044808642182,0.7980089617284364,1203,-0.2019910382715632,6654,0.8192064923354373,Citeseer_inter0.1_intra0.5_edges200
0.12779068327206725,0.8831439370634937,0.7662878741269876,1916,-0.23371212587301216,6654,0.7120529005109708,Citeseer_inter0.1_intra0.5_edges1000
0.04634039119773919,0.8255281960542531,0.6510563921085062,3894,-0.3489436078914934,6654,0.41478809738503153,Citeseer_inter0.1_intra0.5_edges4000
0.03379658501739419,0.8075993564393575,0.6151987128787155,4399,-0.3848012871212845,6654,0.33889389840697326,Citeseer_inter0.1_intra0.5_edges5000
0.015885909106472723,0.7647202503317804,0.529440500663561,5144,-0.47055949933643887,6654,0.2269311692215209,Citeseer_inter0.1_intra0.5_edges7000
0.012142728533176064,0.7494582492639242,0.4989164985278486,5412,-0.5010835014721512,6654,0.18665464382326424,Citeseer_inter0.1_intra0.5_edges8000
0.00717910468122074,0.7196072086178478,0.43921441723569565,5772,-0.5607855827643041,6654,0.13255184851217316,Citeseer_inter0.1_intra0.5_edges10000
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.45624654817498306,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
0.16895518979297816,0.8990044808642182,0.7980089617284364,1203,-0.2019910382715632,6654,0.8192064923354373,Citeseer_inter0.1_intra0.5_edges200
0.12779068327206725,0.8831439370634937,0.7662878741269876,1916,-0.23371212587301216,6654,0.7120529005109708,Citeseer_inter0.1_intra0.5_edges1000
0.04634039119773919,0.8255281960542531,0.6510563921085062,3894,-0.3489436078914934,6654,0.41478809738503153,Citeseer_inter0.1_intra0.5_edges4000
0.03379658501739419,0.8075993564393575,0.6151987128787155,4399,-0.3848012871212845,6654,0.33889389840697326,Citeseer_inter0.1_intra0.5_edges5000
0.015885909106472723,0.7647202503317804,0.529440500663561,5144,-0.47055949933643887,6654,0.2269311692215209,Citeseer_inter0.1_intra0.5_edges7000
0.012142728533176064,0.7494582492639242,0.4989164985278486,5412,-0.5010835014721512,6654,0.18665464382326424,Citeseer_inter0.1_intra0.5_edges8000
0.00717910468122074,0.7196072086178478,0.43921441723569565,5772,-0.5607855827643041,6654,0.13255184851217316,Citeseer_inter0.1_intra0.5_edges10000
0.002047397720231108,0.6483469064451624,0.29669381289032504,6261,-0.7033061871096747,6654,0.059062218214607776,Citeseer_inter0.1_intra0.5_edges14000
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.45624654817498306,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596294,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
0.16895518979297816,0.8990044808642182,0.7980089617284364,1203,-0.2019910382715632,6654,0.8192064923354373,Citeseer_inter0.1_intra0.5_edges200
0.12779068327206725,0.8831439370634937,0.7662878741269876,1916,-0.23371212587301216,6654,0.7120529005109708,Citeseer_inter0.1_intra0.5_edges1000
0.09216650499790902,0.8645822055160732,0.7291644110321465,2551,-0.2708355889678532,6654,0.6166215810039074,Citeseer_inter0.1_intra0.5_edges2000
0.06600218503524596,0.8456165155832721,0.6912330311665444,3235,-0.3087669688334555,6654,0.5138262699128344,Citeseer_inter0.1_intra0.5_edges3000
0.047262702651719966,0.8266475619267855,0.6532951238535709,3876,-0.34670487614642875,6654,0.41749323715058606,Citeseer_inter0.1_intra0.5_edges4000
0.032359318593515235,0.8051310014168902,0.6102620028337806,4321,-0.38973799716621915,6654,0.35061617072437634,Citeseer_inter0.1_intra0.5_edges5000
0.017311024399921618,0.7695999112178781,0.5391998224357564,5119,-0.46080017756424335,6654,0.2306883077847911,Citeseer_inter0.1_intra0.5_edges7000
0.012449578455151352,0.7508757389021234,0.5017514778042471,5424,-0.4982485221957527,6654,0.18485121731289444,Citeseer_inter0.1_intra0.5_edges8000
0.008076616987966948,0.7262980396623201,0.4525960793246404,5756,-0.5474039206753595,6654,0.13495641719266604,Citeseer_inter0.1_intra0.5_edges10000
0.002600025711611304,0.6619191245843045,0.32383824916860915,6209,-0.6761617508313906,6654,0.06687706642620983,Citeseer_inter0.1_intra0.5_edges14000
0.024721542617176424,0.7718767259125082,0.5437534518250166,2090,-0.4562465481749835,3327,0.37180643222122034,Citeseer_inter0_intra0_edges0
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596336,6654,0.9011121130147279,Citeseer_inter0_intra0_edges0
0.17015675138940722,0.8994069896658319,0.798813979331664,1192,-0.2011860206683362,6654,0.8208596333032763,Citeseer_inter0.1_intra0.5_edges200
0.12907554109345176,0.8837121646317354,0.7674243292634709,1849,-0.23257567073652924,6654,0.722122031860535,Citeseer_inter0.1_intra0.5_edges1000
0.09175440550752471,0.8643276735666854,0.728655347133371,2558,-0.27134465286662923,6654,0.6155695822061917,Citeseer_inter0.1_intra0.5_edges2000
0.06505132520047784,0.844792290032397,0.6895845800647941,3221,-0.310415419935206,6654,0.5159302675082658,Citeseer_inter0.1_intra0.5_edges3000
0.04607509904526445,0.8252020955785275,0.6504041911570553,3776,-0.34959580884294483,6654,0.432521791403667,Citeseer_inter0.1_intra0.5_edges4000
0.03225226216556272,0.804942778115193,0.6098855562303862,4338,-0.390114443769614,6654,0.3480613165013525,Citeseer_inter0.1_intra0.5_edges5000
0.01660300648780022,0.7672279993509863,0.5344559987019727,5131,-0.46554400129802753,6654,0.22888488127442141,Citeseer_inter0.1_intra0.5_edges7000
0.012099047703711894,0.7492535588443607,0.4985071176887216,5398,-0.5014928823112786,6654,0.18875864141869547,Citeseer_inter0.1_intra0.5_edges8000
